"vaca.date","vaca.MSL"
1982-03-01,0.826
1982-04-01,0.832
1982-05-01,0.838
1982-06-01,0.853
1982-07-01,0.856
1982-08-01,0.875
1982-09-01,0.975
1982-10-01,1.042
1982-11-01,1.024
1982-12-01,0.927
1983-01-01,0.939
1983-02-01,0.89
1983-03-01,0.917
1983-04-01,0.826
1983-05-01,0.808
1983-06-01,0.856
1983-07-01,0.887
1983-08-01,0.905
1983-09-01,0.954
1983-10-01,1.036
1983-11-01,0.991
1983-12-01,0.872
1984-01-01,0.917
1984-02-01,0.86
1984-03-01,0.869
1984-04-01,0.838
1984-05-01,0.814
1984-06-01,0.863
1984-07-01,0.817
1984-08-01,0.902
1984-09-01,1.027
1984-10-01,1.052
1984-11-01,1.058
1984-12-01,0.939
1985-01-01,0.908
1985-02-01,0.823
1985-03-01,0.823
1985-04-01,0.796
1985-05-01,0.902
1985-06-01,0.884
1985-07-01,0.866
1985-08-01,0.978
1985-09-01,1.006
1985-10-01,1.052
1985-11-01,0.957
1985-12-01,0.902
1986-01-01,0.853
1986-02-01,0.838
1986-03-01,0.82
1986-04-01,0.908
1986-05-01,0.966
1986-06-01,0.942
1986-07-01,0.878
1986-08-01,0.814
1986-09-01,1.03
1986-10-01,1.055
1986-11-01,0.963
1986-12-01,0.939
1987-01-01,0.933
1987-02-01,0.856
1987-03-01,0.936
1987-04-01,0.856
1987-05-01,0.884
1987-06-01,0.838
1987-07-01,0.881
1987-08-01,0.905
1987-09-01,0.92
1987-10-01,1
1987-11-01,1.042
1987-12-01,0.942
1988-07-01,0.893
1988-10-01,1.049
1988-11-01,0.957
1988-12-01,0.899
1989-01-01,0.826
1989-02-01,0.863
1989-03-01,0.869
1989-04-01,0.832
1989-05-01,0.853
1989-06-01,0.902
1989-07-01,0.928
1989-08-01,1.009
1989-09-01,0.997
1989-10-01,0.988
1989-11-01,0.931
1989-12-01,0.884
1990-01-01,0.826
1990-02-01,0.777
1990-03-01,0.887
1990-04-01,0.896
1990-05-01,0.896
1990-06-01,0.881
1990-07-01,0.893
1990-08-01,0.951
1990-09-01,0.963
1990-10-01,1.006
1990-11-01,1.021
1990-12-01,0.875
1991-01-01,0.914
1991-02-01,0.85
1991-03-01,0.86
1991-04-01,0.863
1991-05-01,0.875
1991-06-01,0.963
1991-07-01,0.948
1991-08-01,0.966
1991-09-01,1.061
1991-10-01,1.085
1991-11-01,1.039
1991-12-01,0.875
